#{"t_start": 1621049963.56602, "env_id": null}
r,l,t
2.2,3,0.033349
3.3,4,0.058828
5.5,6,0.075304
3.3,4,0.087096
11.0,11,0.117671
3.3,4,0.129671
1.1,2,0.137424
1.1,2,0.144953
2.4,6,0.160959
1.1,2,0.171933
1.1,2,0.183683
6.8,9,0.208628
1.1,2,0.22122
8.1,13,0.257046
0.2,4,0.269047
1.1,2,0.277193
13.2,13,0.312486
1.3,4,0.325214
-0.5,9,0.349361
2.4,5,0.363425
-0.3,12,0.398575
1.3,4,0.411619
2.2,3,0.422056
1.1,2,0.429844
1.1,2,0.437867
1.3,4,0.452289
6.8,9,0.476932
2.2,3,0.48698
0.2,4,0.499191
0.2,4,0.510852
1.3,4,0.527058
1.1,2,0.536023
3.3,4,0.548088
1.7,10,0.57729
1.1,2,0.585531
3.7,10,0.609112
3.3,4,0.622466
5.7,9,0.647758
1.1,2,0.655975
5.7,8,0.675454
2.4,5,0.691595
7.9,11,0.726577
12.3,15,0.762772
1.1,2,0.773532
2.4,6,0.790203
2.2,3,0.802565
5.5,6,0.82258
3.5,7,0.841401
4.6,8,0.862559
0.2,3,0.874932
1.1,2,0.884277
1.1,2,0.892463
2.2,3,0.903042
9.0,11,0.936585
1.9,13,0.967129
1.1,2,0.974966
3.3,4,0.987092
1.3,4,1.002484
1.3,4,1.017091
6.6,7,1.035539
1.3,4,1.047908
1.5,7,1.074597
2.2,3,1.085208
0.2,3,1.095225
2.4,5,1.109586
1.1,2,1.117496
1.1,2,1.128038
1.5,8,1.151198
-1.8,5,1.168828
1.1,2,1.183302
2.6,9,1.208411
3.5,6,1.225196
0.6,10,1.254054
1.1,2,1.264858
-1.6,7,1.286197
6.8,10,1.316087
-5.8,7,1.33744
2.4,5,1.354991
3.3,4,1.368909
2.2,3,1.379224
2.4,6,1.39905
1.1,2,1.41001
3.3,4,1.425421
0.2,3,1.436659
0.2,4,1.45051
1.1,2,1.461281
0.2,3,1.475388
1.1,2,1.484022
0.2,4,1.50059
2.6,9,1.527567
7.7,9,1.552996
0.2,3,1.563436
0.2,3,1.573961
1.1,2,1.586316
1.1,2,1.597397
1.5,7,1.616374
2.2,3,1.629271
6.6,7,1.6507
-0.7,6,1.687765
0.4,7,1.711636
11.0,11,1.750538
1.9,13,1.789626
1.1,2,1.803789
6.6,7,1.828449
2.2,3,1.84349
1.1,2,1.858468
2.2,3,1.874916
-5.8,7,1.898143
5.7,8,1.928099
0.2,4,1.946239
5.5,6,1.967022
0.2,3,1.979815
2.2,3,1.993045
0.2,3,2.007798
0.2,3,2.024499
-6,3,2.03808
-6.5,12,2.080326
1.1,2,2.091152
1.1,2,2.101917
4.8,10,2.132853
2.2,3,2.146917
1.0,16,2.199891
5.5,6,2.22072
6.6,7,2.243827
1.1,2,2.255291
1.1,2,2.269597
1.1,2,2.282075
2.6,8,2.314794
2.4,5,2.334533
-0.7,5,2.357948
1.3,4,2.374142
2.4,6,2.395138
2.2,3,2.412059
1.1,2,2.428714
0.2,3,2.446064
1.1,2,2.456971
1.1,2,2.468653
2.2,3,2.48957
1.3,4,2.506351
1.0,15,2.549637
1.1,2,2.560617
-1.4,11,2.600139
1.3,5,2.618357
0.2,4,2.63374
0.4,7,2.661438
5.0,13,2.701389
0.2,3,2.714145
2.2,3,2.727451
1.1,2,2.738154
2.2,3,2.751183
3.3,4,2.771852
2.4,5,2.790448
2.2,3,2.808551
2.6,9,2.841183
-1.8,5,2.859573
4.6,7,2.883523
3.3,4,2.901553
1.1,2,2.914751
2.2,3,2.930995
0.2,3,2.944121
1.1,2,2.956548
1.3,5,2.979962
5.9,12,3.016583
3.3,4,3.033315
1.3,4,3.052757
1.1,2,3.070539
1.1,2,3.081727
2.2,3,3.096049
1.1,2,3.107366
1.3,4,3.123158
1.1,2,3.137254
2.2,3,3.154811
2.4,5,3.177871
2.2,3,3.196242
1.1,2,3.208625
2.2,3,3.223569
3.3,4,3.241042
3.5,7,3.275098
0.2,3,3.293045
2.2,3,3.312144
7.0,12,3.364075
0.2,3,3.380231
1.1,2,3.39317
3.5,6,3.415432
3.3,4,3.439424
1.1,2,3.454505
0.2,4,3.472129
7.7,8,3.500806
-2.9,4,3.520299
2.4,5,3.542083
4.4,5,3.561023
-8,5,3.57965
1.3,4,3.598665
0.2,3,3.616534
0.2,3,3.632609
6.1,15,3.685216
-5.6,10,3.730388
2.2,3,3.747073
42.9,40,3.957955
12.3,14,4.026415
11.2,14,4.125908
1.1,2,4.139768
20.9,20,4.253903
4.6,8,4.296521
0.2,3,4.325923
88.9,80,4.7918
16.5,16,5.002708
10.1,12,5.073738
30.8,29,5.711455
67.1,62,6.365018
26.4,26,6.53956
40.0,43,6.819483
31.0,31,6.971631
31.0,31,7.11793
0.2,3,7.13862
7.0,12,7.19909
24.6,28,7.340037
17.6,17,7.420197
13.4,15,7.492205
4.6,7,7.529898
11.0,11,7.593965
18.9,20,7.688261
9.2,14,7.754174
44.9,40,7.94807
21.1,22,8.060648
7.9,10,8.106772
29.9,30,8.242303
11.2,13,8.300443
0.2,3,8.320117
21.1,22,8.428159
3.5,6,8.463808
9.9,10,8.512119
9.9,10,8.571854
-6,3,8.5864
19.8,19,8.675031
5.5,6,8.710967
53.0,52,8.979797
33.2,34,9.152253
1.1,2,9.168583
1.3,4,9.191096
8.8,9,9.243322
11.0,11,9.298454
17.8,19,9.384167
6.6,7,9.422822
7.9,10,9.495832
15.6,18,9.592813
2.6,8,9.632178
9.0,11,9.684403
2.4,6,9.716915
33.0,31,9.86566
24.2,23,10.016074
1.5,7,10.073308
14.0,24,10.217884
122.1,113,10.89959
31.0,31,11.131371
18.9,20,11.257647
21.1,22,11.371937
4.6,7,11.412051
11.2,13,11.470661
12.1,12,11.525999
11.2,13,11.592591
16.9,21,11.701227
