#{"t_start": 1621049654.5731058, "env_id": null}
r,l,t
0,2,0.027631
0,2,0.039222
0,2,0.049023
0,3,0.059488
0,6,0.076757
0,5,0.093551
0,5,0.11121
0,3,0.121282
0,2,0.129341
0,4,0.14612
0,5,0.161886
0,6,0.177912
0,3,0.188123
0,2,0.195939
0,20,0.244754
0,8,0.264885
0,5,0.278896
0,2,0.288484
0,3,0.302626
0,7,0.321103
0,6,0.342822
0,2,0.351047
0,7,0.37013
0,4,0.38329
0,8,0.418551
0,2,0.427463
0,5,0.443058
0,2,0.451171
0,10,0.480892
0,2,0.489112
0,10,0.512143
0,3,0.522706
0,2,0.532809
0,6,0.551557
0,7,0.575911
0,5,0.591104
0,2,0.59984
0,5,0.613553
0,12,0.647313
0,5,0.661195
0,2,0.66928
0,7,0.68929
0,2,0.69997
0,2,0.708101
0,12,0.738219
0,6,0.756729
0,16,0.792834
0,8,0.812522
0,3,0.825646
0,6,0.844405
0,5,0.858167
0,2,0.866168
0,12,0.897852
0,9,0.920243
0,3,0.932253
0,4,0.944503
0,8,0.969898
0,2,0.978313
0,4,0.990443
0,2,0.998426
0,23,1.055286
0,2,1.063434
0,2,1.071429
0,9,1.09292
0,5,1.106364
0,7,1.129518
0,3,1.140078
0,3,1.149849
0,2,1.158204
0,8,1.180166
0,2,1.190816
0,8,1.21057
0,5,1.227101
0,7,1.247734
0,6,1.263616
0,2,1.271747
0,3,1.28189
0,6,1.301854
0,4,1.315284
0,12,1.342925
0,4,1.354853
0,2,1.366025
0,4,1.37993
0,5,1.393952
0,8,1.419973
0,2,1.429406
0,5,1.443782
0,11,1.468915
0,4,1.481304
0,2,1.493429
0,4,1.508088
0,11,1.534267
0,3,1.545698
0,10,1.575668
0,12,1.603318
0,4,1.615054
0,6,1.648279
0,5,1.669859
0,2,1.680488
0,4,1.696622
0,6,1.725817
0,11,1.764016
0,3,1.777589
0,9,1.807386
0,2,1.818232
0,6,1.844056
0,3,1.862015
0,4,1.879725
0,2,1.892132
0,4,1.914931
0,4,1.931586
0,8,1.957902
0,4,1.973709
0,4,1.991701
0,5,2.014267
0,4,2.03098
0,10,2.069458
0,6,2.094918
0,14,2.137077
0,6,2.157358
0,2,2.167873
0,11,2.205277
0,5,2.223377
0,6,2.243577
0,6,2.263645
0,2,2.27737
0,7,2.307026
0,2,2.317565
0,12,2.3586
0,4,2.374038
0,4,2.389464
0,6,2.416729
0,4,2.434805
0,8,2.46818
0,13,2.507365
0,2,2.517929
0,5,2.543899
0,3,2.558415
0,2,2.569856
0,12,2.60533
0,2,2.61685
0,6,2.641742
0,2,2.651964
0,4,2.666793
0,2,2.676883
0,3,2.693349
0,2,2.705011
0,3,2.717745
0,2,2.730675
0,3,2.746231
0,2,2.756871
0,9,2.784647
0,3,2.802806
0,2,2.814789
0,2,2.82973
0,9,2.860374
0,2,2.870949
0,8,2.901589
0,4,2.917252
0,4,2.93269
0,4,2.95159
0,4,2.969759
0,2,2.980447
0,2,2.990581
0,2,3.001133
0,2,3.01421
0,6,3.03954
0,4,3.057014
0,3,3.070735
0,3,3.08604
0,24,3.157756
0,11,3.189196
0,5,3.206026
0,2,3.215942
0,3,3.234196
0,6,3.257878
0,3,3.270809
0,2,3.284068
0,2,3.297373
0,6,3.319636
0,4,3.33512
0,2,3.347923
0,4,3.365754
0,2,3.376172
0,4,3.392004
0,6,3.414138
0,2,3.427311
0,2,3.43779
0,4,3.454683
0,12,3.494036
0,4,3.508982
0,2,3.519091
0,2,3.529997
0,3,3.548377
0,2,3.560692
0,18,3.648599
0,22,3.760876
0,6,3.788254
0,60,4.054657
0,9,4.105222
0,19,4.19102
0,22,4.286748
0,17,4.358818
0,18,4.439964
0,2,4.45291
0,24,4.561385
0,22,4.658496
0,20,4.742979
0,8,4.785637
0,14,4.850186
0,34,5.003698
0,41,5.180495
