#{"t_start": 1621051796.3662221, "env_id": null}
r,l,t
0,2,0.050987
0,6,0.077152
0,5,0.096097
0,4,0.110537
0,2,0.119298
0,2,0.128491
0,8,0.151842
0,5,0.168259
0,3,0.179599
0,2,0.188418
0,2,0.19785
0,2,0.206762
0,3,0.218755
0,3,0.229664
0,4,0.243864
0,4,0.258713
0,3,0.273127
0,5,0.29466
0,2,0.305004
0,10,0.340417
0,2,0.351086
0,6,0.376832
0,4,0.396844
0,5,0.416824
0,7,0.441948
0,2,0.453424
0,2,0.463743
0,3,0.478061
0,2,0.489262
0,6,0.51399
0,2,0.525228
0,4,0.542529
0,4,0.56602
0,2,0.575823
0,2,0.585681
0,2,0.595374
0,3,0.60874
0,5,0.627119
0,3,0.640236
0,2,0.650556
0,5,0.67066
0,3,0.684531
0,5,0.705022
0,3,0.720312
0,10,0.755795
0,2,0.766864
0,5,0.787229
0,9,0.819983
0,3,0.834481
0,2,0.845206
0,3,0.858618
0,2,0.868418
0,4,0.883485
0,5,0.901818
0,7,0.926017
0,4,0.941714
0,9,0.974046
0,4,0.990546
0,2,1.001877
0,3,1.016359
0,2,1.026383
0,9,1.061554
0,7,1.092428
0,6,1.117321
0,13,1.161437
0,3,1.175316
0,3,1.188462
0,3,1.202217
0,2,1.213109
0,5,1.232565
0,1,1.239483
0,2,1.249864
0,3,1.263375
0,2,1.274445
0,2,1.285791
0,10,1.318699
0,5,1.336751
0,3,1.349402
0,3,1.363117
0,2,1.373123
0,12,1.412393
0,3,1.424914
0,2,1.435038
0,4,1.450708
0,2,1.460614
0,3,1.472941
0,4,1.487608
0,3,1.499826
0,2,1.509252
0,3,1.520716
0,3,1.532346
0,2,1.541621
0,3,1.55293
0,9,1.584009
0,2,1.593224
0,7,1.615624
0,26,1.745108
0,3,1.763125
0,4,1.788769
0,6,1.820255
0,7,1.84816
0,6,1.870079
0,10,1.908736
0,11,1.943253
0,4,1.958683
0,6,1.981623
0,2,1.994289
0,3,2.011275
0,4,2.026789
0,14,2.112579
0,2,2.132984
0,17,2.208471
0,4,2.229548
0,4,2.244578
0,2,2.255545
0,5,2.299511
0,4,2.3231
0,5,2.344576
0,14,2.392949
0,7,2.416817
0,5,2.434986
0,4,2.452198
0,3,2.469405
0,4,2.486843
0,5,2.508325
0,8,2.54049
0,5,2.564111
0,2,2.574007
0,7,2.601125
0,9,2.635399
0,12,2.675563
0,2,2.685036
0,2,2.694454
0,2,2.704295
0,7,2.726305
0,7,2.748431
0,2,2.757626
0,11,2.793863
0,4,2.80963
0,10,2.8478
0,5,2.870409
0,3,2.884644
0,2,2.89999
0,8,2.930103
0,7,2.953868
0,12,2.991941
0,2,3.00236
0,2,3.014124
0,6,3.035854
0,3,3.048332
0,2,3.057427
0,2,3.06672
0,3,3.079518
0,4,3.093893
0,2,3.10567
0,8,3.131739
0,5,3.14804
0,3,3.159764
0,4,3.173162
0,4,3.187488
0,2,3.196671
0,4,3.210813
0,8,3.234829
0,4,3.24894
0,5,3.265931
0,2,3.278146
0,3,3.290277
0,4,3.30581
0,3,3.318715
0,9,3.352084
0,6,3.378566
0,7,3.409169
0,12,3.454925
0,6,3.475946
0,7,3.500747
0,3,3.51632
0,5,3.538056
0,5,3.555896
0,4,3.570746
0,4,3.585421
0,7,3.607701
0,5,3.628698
0,4,3.644741
0,14,3.690932
0,8,3.714828
0,2,3.724316
0,6,3.742757
