#{"t_start": 1621313174.161331, "env_id": null}
r,l,t
42.9,40,0.136276
18.9,20,0.191654
31.0,31,0.271348
23.5,27,0.340953
43.6,37,0.436549
30.1,33,0.520698
21.0,22,0.581495
34.1,32,0.662142
88.9,80,0.87611
3.5,6,0.896503
24.0,21,0.951725
11.2,13,0.988002
57.0,51,1.133675
42.9,40,1.236241
42.9,40,1.336559
51.3,44,1.448493
29.9,30,1.52646
46.2,43,1.639771
14.5,16,1.682646
24.4,25,1.746088
42.9,40,1.847148
35.2,33,1.931031
35.2,34,2.012621
33.2,33,2.097187
44.2,44,2.209562
38.7,38,2.307547
38.5,37,2.401444
112.9,100,2.683606
63.8,59,2.847595
77.0,71,3.056669
16.7,18,3.113857
73.0,73,3.302617
42.9,40,3.421845
38.7,38,3.526337
42.9,40,3.628253
27.9,31,3.712226
24.2,23,3.776309
42.9,40,3.893182
8.8,9,3.923841
18.7,18,3.979066
6.6,7,4.001395
49.3,44,4.113627
42.9,40,4.228678
47.8,39,4.331389
96.0,81,4.555394
18.5,16,4.769816
9.0,11,4.86876
33.2,33,4.969932
29.5,26,5.039704
13.4,15,5.081051
3.5,6,5.09952
52.8,49,5.224925
30.8,29,5.300464
22.2,23,5.360523
38.7,38,5.455882
3.5,6,5.474095
39.6,37,5.585491
25.5,26,5.67551
98.2,83,5.962598
42.9,40,6.084783
48.0,41,6.208322
43.1,43,6.321624
56.7,48,6.447771
29.9,30,6.530133
69.1,62,6.727749
27.7,28,6.819112
42.9,40,6.937409
23.3,24,7.00639
136.3,114,7.303773
34.3,34,7.391097
32.5,38,7.488348
28.6,27,7.558538
60.5,57,7.717976
30.8,29,7.804209
25.5,26,7.872602
13.4,15,7.912883
42.9,40,8.017541
20.0,21,8.084163
20.0,21,8.149222
15.4,15,8.225454
27.5,27,8.30894
20.0,21,8.366257
30.8,29,8.442925
46.4,46,8.565981
31.0,31,8.646308
27.4,25,8.713987
14.5,16,8.756769
20.9,20,8.809363
28.8,29,8.882284
15.6,17,8.927819
42.9,40,9.030757
60.5,56,9.178138
15.6,17,9.223068
24.8,31,9.309311
17.6,17,9.394259
49.3,44,9.612855
45.3,46,9.779292
94.2,83,10.018008
4.8,10,10.048631
39.8,39,10.151721
5.0,13,10.187456
27.7,29,10.263839
2.4,5,10.280601
37.4,35,10.385057
95.3,84,10.60735
16.7,18,10.654223
13.2,13,10.692436
83.4,75,10.9009
5.7,8,10.927635
18.0,22,10.993055
79.0,71,11.193941
10.1,12,11.247793
23.3,24,11.360143
106.2,93,12.174097
32.8,29,12.265278
41.8,39,12.402863
13.2,13,12.45246
59.8,61,12.676117
41.6,37,12.79243
19.1,23,12.873547
84.7,79,13.167556
60.1,52,13.325645
40.9,40,13.466432
28.6,27,13.752434
29.7,28,13.909482
69.3,64,14.180812
42.9,40,14.284379
11.2,13,14.320617
53.7,48,14.460201
21.3,25,14.527073
34.7,40,14.634725
46.4,46,14.835717
25.2,23,14.956859
11.2,13,15.054087
109.8,99,15.383026
40.9,40,15.504056
7.7,8,15.527084
83.0,71,15.736737
29.9,30,15.825055
30.8,29,15.898971
15.6,17,15.946244
28.6,27,16.031623
39.8,40,16.180352
37.6,37,16.319517
1.3,4,16.340124
28.8,29,16.441606
19.8,19,16.503404
37.2,33,16.602533
17.8,19,16.661087
78.6,67,16.862179
15.6,17,16.914999
27.7,29,17.008607
39.8,40,17.139091
42.9,40,17.260762
42.9,40,17.383189
36.5,38,17.496629
30.8,29,17.594205
24.6,28,17.714092
34.3,34,17.829251
15.6,17,17.889365
72.2,64,18.074713
41.6,37,18.188281
37.4,35,18.27783
3.5,6,18.296218
38.5,36,18.391943
12.3,14,18.432399
38.7,38,18.53471
-2,1,18.541261
49.5,46,18.670301
22.2,23,18.738007
42.9,40,18.842337
17.8,19,18.900347
59.2,53,19.059756
38.5,36,19.166522
59.9,50,19.308667
40.7,38,19.44078
21.1,22,19.50604
42.9,40,19.621897
61.8,59,19.812684
39.8,40,19.920683
42.9,40,20.038153
25.5,26,20.116843
55.7,48,20.243631
25.3,24,20.304129
42.9,40,20.410622
2.4,5,20.428347
29.9,30,20.519019
1.3,4,20.532712
11.4,16,20.575152
2.4,5,20.590853
24.2,23,20.653995
126.4,25,20.723635
40.9,40,20.834942
4.6,7,20.857199
3.3,4,20.872628
66.6,57,21.021322
57.0,51,21.154046
11.2,13,21.189226
24.4,25,21.252981
35.4,35,21.358304
18.9,20,21.419815
26.4,25,21.48532
18.9,20,21.538472
37.4,35,21.650474
33.0,31,21.747416
7.9,10,21.789874
41.6,37,21.921539
7.9,10,21.984685
50.4,45,22.120098
68.5,56,22.27646
38.5,36,22.368619
5.7,8,22.393881
142.9,40,22.505683
33.0,31,22.591717
