#{"t_start": 1621133658.325326, "env_id": null}
r,l,t
0,10,0.041236
0,2,0.049513
0,6,0.065695
0,4,0.077326
0,4,0.089281
0,6,0.105966
0,6,0.124781
0,10,0.148733
0,4,0.160342
0,2,0.168167
0,3,0.18052
0,4,0.193376
0,6,0.209418
0,3,0.222355
0,12,0.249925
0,3,0.259985
0,4,0.271901
0,3,0.281338
0,4,0.296329
0,5,0.310078
0,3,0.319719
0,2,0.327425
0,4,0.342179
0,3,0.351993
0,5,0.365619
0,2,0.373629
0,2,0.385287
0,7,0.407187
0,3,0.417769
0,2,0.428644
0,3,0.439267
0,11,0.465056
0,3,0.474938
0,7,0.494053
0,7,0.51628
0,7,0.53644
0,4,0.550476
0,6,0.569897
0,7,0.587699
0,6,0.604207
0,4,0.616843
0,2,0.627452
0,2,0.635268
0,5,0.649043
0,3,0.661335
0,22,0.712426
0,7,0.729598
0,2,0.737326
0,3,0.746658
0,3,0.75687
0,2,0.766264
0,2,0.774373
0,2,0.783264
0,5,0.796798
0,12,0.827012
0,7,0.844805
0,2,0.853033
0,3,0.863467
0,3,0.87858
0,7,0.897148
0,22,0.948494
0,3,0.95807
0,2,0.965511
0,2,0.97332
0,3,0.982743
0,6,0.998762
0,3,1.009962
0,9,1.032543
0,2,1.040372
0,6,1.05853
0,12,1.085125
0,10,1.110445
0,6,1.126273
0,10,1.152708
0,2,1.160581
0,6,1.176431
0,6,1.194816
0,4,1.207466
0,4,1.219144
0,12,1.245896
0,6,1.263282
0,7,1.28218
0,5,1.295422
0,2,1.302956
0,3,1.312289
0,2,1.319811
0,5,1.33653
0,11,1.361484
0,8,1.380781
0,4,1.39257
0,3,1.404973
0,4,1.416665
0,5,1.430471
0,3,1.441054
0,4,1.45487
0,4,1.466583
0,6,1.483296
0,2,1.495184
0,3,1.505442
0,7,1.524209
0,7,1.542067
0,15,1.578858
0,7,1.596082
0,11,1.62016
0,2,1.629104
0,6,1.647683
0,4,1.662838
0,4,1.674692
0,2,1.682933
0,7,1.702653
0,4,1.71528
0,4,1.72722
0,7,1.744336
0,3,1.754536
0,6,1.772789
0,5,1.786319
0,5,1.799976
0,16,1.83656
0,6,1.851366
0,3,1.860536
0,3,1.870082
0,9,1.897664
0,3,1.90833
0,2,1.916138
0,9,1.939355
0,2,1.948144
0,11,1.974646
0,17,2.00998
0,1,2.016297
0,5,2.033183
0,2,2.041144
0,3,2.050752
0,6,2.06978
0,3,2.079768
0,2,2.08766
0,9,2.109229
0,2,2.119374
0,2,2.129138
0,2,2.140578
0,5,2.154624
0,4,2.169086
0,7,2.191708
0,18,2.232251
0,2,2.240378
0,3,2.250076
0,4,2.264976
0,5,2.279937
0,2,2.287881
0,2,2.295761
0,2,2.304221
0,2,2.313692
0,3,2.32428
0,3,2.334399
0,15,2.370372
0,2,2.378278
0,4,2.392213
0,7,2.409976
0,2,2.419116
0,6,2.437255
0,9,2.458109
0,7,2.474779
0,3,2.486464
0,14,2.51836
0,3,2.527584
0,8,2.54612
0,2,2.55422
0,6,2.570857
0,10,2.594835
0,3,2.604572
0,4,2.615767
0,4,2.628854
0,4,2.640962
0,3,2.651571
0,7,2.670067
0,11,2.697407
0,9,2.718013
0,2,2.725605
0,4,2.739265
0,2,2.748122
0,2,2.756169
0,3,2.766332
0,2,2.77476
0,3,2.785831
0,4,2.798471
0,2,2.806386
0,11,2.834052
0,6,2.84989
0,3,2.859187
0,5,2.87524
0,2,2.883034
0,3,2.896032
0,2,2.904063
0,2,2.912309
0,2,2.920088
0,8,2.954084
0,8,2.990228
0,18,3.064552
0,59,3.295668
0,38,3.439059
0,33,3.572753
0,11,3.623997
0,16,3.686409
0,33,3.807267
0,26,3.905743
0,6,3.928502
0,19,4.005252
0,2,4.013968
0,22,4.098989
0,32,4.218557
0,12,4.267006
0,10,4.304513
0,37,4.452454
0,31,4.568863
0,26,4.670507
0,17,4.737311
