#{"t_start": 1620920483.533773, "env_id": null}
r,l,t
1.1,2,0.047726
2.6,8,0.095825
1.5,8,0.12951
2.2,3,0.141741
1.9,13,0.180373
2.2,3,0.192246
2.2,3,0.203832
1.1,2,0.212753
1.1,2,0.222439
2.4,6,0.242192
1.3,4,0.256654
-2.3,12,0.292518
1.3,4,0.306998
1.3,4,0.321625
-2.7,7,0.343292
3.3,4,0.35752
-0.7,6,0.376578
3.5,7,0.402999
1.1,2,0.41347
-0.5,9,0.441878
1.1,2,0.451432
3.3,4,0.466682
1.1,2,0.476073
2.2,3,0.48828
1.1,2,0.497466
2.4,5,0.514327
2.2,3,0.525927
0.2,4,0.540045
2.4,5,0.558022
1.1,2,0.566924
1.3,5,0.583774
3.3,4,0.597458
3.3,4,0.610949
1.3,5,0.627233
0.4,6,0.645432
0.4,7,0.665201
1.1,2,0.673414
1.1,2,0.681522
5.5,7,0.701049
0.4,6,0.718447
4.6,7,0.738538
0.2,4,0.751618
0.4,6,0.769669
1.7,11,0.798608
1.1,2,0.807039
-4,3,0.817582
1.1,2,0.826144
1.1,2,0.83524
2.2,3,0.846494
6.6,7,0.867753
4.4,5,0.883778
1.3,5,0.899728
2.2,3,0.911109
1.5,8,0.934847
0.2,3,0.946321
0.2,4,0.959909
-3.4,12,0.993683
1.1,2,1.002617
1.5,7,1.024049
2.4,5,1.040474
4.6,7,1.065645
1.3,4,1.081546
10.5,18,1.131429
3.3,4,1.145293
1.1,2,1.154272
1.1,2,1.163163
3.3,4,1.177097
1.1,2,1.186636
2.4,5,1.202929
1.3,4,1.216525
1.1,2,1.225585
1.3,4,1.239704
0.4,7,1.260526
6.6,7,1.281132
1.1,2,1.290492
-0.7,5,1.306581
1.1,2,1.315584
1.1,2,1.324549
9.6,21,1.380579
0.4,7,1.402318
-0.7,6,1.420638
1.1,2,1.429697
1.1,2,1.438437
0.2,3,1.449938
0.2,4,1.463618
4.4,5,1.479492
0.2,4,1.493108
0.2,4,1.506822
3.3,4,1.520463
3.3,4,1.534331
0.2,3,1.54546
1.7,11,1.582927
1.1,2,1.592302
0.2,4,1.607866
2.2,3,1.619993
1.5,8,1.644012
1.1,2,1.652959
2.2,3,1.663802
2.2,3,1.674995
1.1,2,1.683511
5.5,6,1.701101
6.8,10,1.72728
2.2,3,1.737781
1.3,4,1.750556
9.0,12,1.782191
2.2,3,1.793159
0.2,3,1.804284
1.1,2,1.812736
5.5,6,1.830815
0.2,3,1.841516
5.5,6,1.861373
3.5,7,1.883149
1.1,2,1.892669
1.1,2,1.90124
1.1,2,1.909733
1.1,2,1.918344
0.2,4,1.931721
3.5,6,1.949942
1.1,2,1.959117
5.7,9,1.986189
1.1,2,1.995241
2.8,12,2.030629
3.0,15,2.074292
1.1,2,2.092855
0.2,4,2.108615
2.4,6,2.127549
1.1,2,2.136417
-1.8,5,2.152208
1.1,2,2.161058
0.2,3,2.172257
2.2,3,2.183185
1.3,5,2.198764
-0.7,5,2.213928
3.3,4,2.226779
7.7,8,2.24872
1.1,2,2.25692
1.1,2,2.266135
2.4,5,2.281134
1.3,4,2.294313
0.2,3,2.304959
3.3,4,2.317779
-3.8,6,2.33503
1.1,2,2.343565
9.0,11,2.37227
5.7,9,2.39729
6.4,5,2.4129
1.3,4,2.426175
1.1,2,2.434721
1.3,4,2.447531
2.4,6,2.464876
4.6,8,2.486758
1.3,4,2.499229
1.1,2,2.507822
2.2,3,2.518467
1.1,2,2.526627
3.9,13,2.560631
-3.6,8,2.583264
-1.6,8,2.612065
1.1,2,2.621649
4.4,5,2.639435
2.4,6,2.65789
1.3,4,2.671398
3.3,4,2.686349
2.2,3,2.697631
2.2,3,2.708757
3.3,4,2.722125
1.1,2,2.73062
2.4,6,2.747746
2.2,3,2.758629
1.1,2,2.767053
-2,2,2.775843
0.2,3,2.786553
2.2,3,2.797406
13.2,13,2.83086
11.2,14,2.867956
12.1,12,2.899949
2.2,3,2.91056
15.4,15,2.94813
-1.8,5,2.96305
2.2,3,2.973645
1.1,2,2.982172
2.2,3,2.994086
2.2,3,3.005072
1.1,2,3.013614
2.4,5,3.029349
1.1,2,3.037781
2.8,12,3.069836
10.5,18,3.116181
0.2,3,3.135217
1.1,2,3.144123
3.3,4,3.1582
6.6,7,3.178905
2.2,3,3.190457
1.3,4,3.203593
3.3,4,3.216328
3.5,6,3.233858
2.4,6,3.251256
2.4,6,3.268586
1.1,2,3.277058
-3.8,6,3.294498
3.3,4,3.307457
1.1,2,3.315601
3.5,7,3.33521
2.2,3,3.345683
1.1,2,3.35464
-4.7,8,3.376345
1.1,2,3.384399
3.3,4,3.397251
2.2,3,3.408008
3.5,6,3.425168
2.2,3,3.43576
-2,2,3.443914
2.2,3,3.454319
4.4,5,3.469206
2.2,3,3.479747
-0.7,5,3.495306
0.2,3,3.506479
5.7,9,3.530132
6.6,7,3.54953
-1.6,7,3.568793
1.1,2,3.577197
0.2,4,3.589775
4.4,5,3.605971
8.6,7,3.627699
1.1,2,3.638037
-2,2,3.646974
1.3,5,3.663096
4.4,5,3.678493
1.1,2,3.687353
4.4,5,3.702826
9.0,11,3.733461
3.3,4,3.746539
1.1,2,3.75506
1.1,2,3.764167
1.1,2,3.772591
6.1,15,3.811418
1.3,4,3.824282
3.5,7,3.843877
-1.8,5,3.858853
-1.6,7,3.878186
1.1,2,3.886574
1.1,2,3.894798
1.1,2,3.904579
5.5,6,3.931843
1.1,2,3.945498
1.3,5,3.962368
3.5,7,3.98536
3.3,4,4.001562
3.3,4,4.016527
0.2,3,4.028235
1.1,2,4.037478
4.1,16,4.081116
1.5,7,4.101739
0.2,3,4.113352
4.4,5,4.129616
0.2,3,4.142939
2.4,6,4.164256
1.3,5,4.181164
0.2,3,4.192447
3.5,6,4.212159
3.3,4,4.226687
1.1,2,4.236224
-0.5,8,4.259224
5.5,6,4.277583
7.4,18,4.32525
5.5,6,4.344008
2.8,12,4.382623
0.2,3,4.395526
3.3,4,4.411605
3.3,4,4.429131
0.2,3,4.442764
1.1,2,4.453287
1.1,2,4.463544
2.8,11,4.49561
5.7,9,4.522476
0.2,3,4.533753
